k     h               By Euler                 By AB2                   By RK4                   
0     0.16            0.5118882633795032       0.5118882633795032       -0.021515851003511943    
1     0.08            0.13371728208328465      -0.05536820856482466     -7.650066799523292E-4    
2     0.04            0.057656256051365096     -1.9884485800331086E-4   -3.6098200158984906E-5   
3     0.02            0.027035576908105652     -1.6995554713622463E-4   -1.962196212401679E-6    
4     0.01            0.013116459859215446     -6.619719641753896E-5    -1.1439171604399334E-7   
5     0.005           0.006462991019929976     -1.9560276233898666E-5   -6.905267468937382E-9    
6     0.0025          0.0032082817613272585    -5.261418713375932E-6    -4.241488826828288E-10   
7     0.00125         0.0015984095782144991    -1.361233063712497E-6    -2.6280255749355774E-11  
8     6.25E-4         7.97780837878348E-4      -3.460027303558988E-7    -1.6353030041216243E-12  
9     3.125E-4        3.9853553168323064E-4    -8.720977362486337E-8    -1.0202949596305189E-13  
10    1.5625E-4       1.9917918105427646E-4    -2.1890904255972288E-8   -5.828670879282072E-15   
11    7.8125E-5       9.956746142480988E-5     -5.4837727692103044E-9   1.1102230246251565E-16   
12    3.90625E-5      4.977820057294746E-5     -1.372323643611395E-9    1.27675647831893E-15     
13    1.953125E-5     2.4887718018618E-5       -3.4325320363848277E-10  -6.106226635438361E-16   
14    9.765625E-6     1.2443513475290935E-5    -8.583411759133242E-11   1.1657341758564144E-15   
15    4.8828125E-6    6.221670358075304E-6     -2.146077759945797E-11   3.3306690738754696E-16   
