p = 4
k     h              By RK4                  Exact                   Error                   
0     0.1            0.13576482860337882     0.13572667829769547     3.815030568335431E-5    
1     0.05           0.1357294471282426      0.13572667829769547     2.768830547117407E-6    
2     0.025          0.13572686124314215     0.13572667829769547     1.8294544668062684E-7   
3     0.0125         0.1357266900048542      0.13572667829769547     1.1707158742435553E-8   
4     0.00625        0.13572667903734328     0.13572667829769547     7.396478152177366E-10   
5     0.003125       0.13572667834416274     0.13572667829769547     4.64672744726613E-11    
6     0.0015625      0.13572667830060722     0.13572667829769547     2.9117541711087824E-12  
7     7.8125E-4      0.13572667829787774     0.13572667829769547     1.8227086506783508E-13  
8     3.90625E-4     0.13572667829770657     0.13572667829769547     1.1102230246251565E-14  
9     1.953125E-4    0.13572667829769527     0.13572667829769547     -1.942890293094024E-16  
10    9.765625E-5    0.13572667829769516     0.13572667829769547     -3.0531133177191805E-16 
11    4.8828125E-5   0.13572667829769455     0.13572667829769547     -9.159339953157541E-16  
12    2.44140625E-5  0.13572667829769108     0.13572667829769547     -4.385380947269368E-15  

p = 5
k     h              By RK4                  Exact                   Error                   
0     0.1            -0.08569906425614551    -0.08584370354077758    1.4463928463206988E-4   
1     0.05           -0.08583461818041233    -0.08584370354077758    9.085360365257422E-6    
2     0.025          -0.08584314406303951    -0.08584370354077758    5.594777380685256E-7    
3     0.0125         -0.08584366898613817    -0.08584370354077758    3.455463941370862E-8    
4     0.00625        -0.08584370139635134    -0.08584370354077758    2.144426247685516E-9    
5     0.003125       -0.08584370340726342    -0.08584370354077758    1.3351415806273081E-10  
6     0.0015625      -0.08584370353244951    -0.08584370354077758    8.328074341257263E-12   
7     7.8125E-4      -0.08584370354025772    -0.08584370354077758    5.198619312807296E-13   
8     3.90625E-4     -0.08584370354074475    -0.08584370354077758    3.2834845953289005E-14  
9     1.953125E-4    -0.08584370354077565    -0.08584370354077758    1.9290125052862095E-15  
10    9.765625E-5    -0.08584370354077682    -0.08584370354077758    7.632783294297951E-16   
11    4.8828125E-5   -0.08584370354078033    -0.08584370354077758    -2.7478019859472624E-15 
12    2.44140625E-5  -0.08584370354077969    -0.08584370354077758    -2.1094237467877974E-15 
